A1,A2,B1,B2,B3,class
3,38914,33435,4,184,0
0,44845,9090,1,46,0
0,9090,44845,1,40,0
8,44172,22,17,2283,0
8,22,44172,19,3185,0
0,23,7334,1,40,0
0,7334,23,1,46,0
0,23,27711,1,40,0
0,27711,23,1,46,0
0,64014,3389,1,46,0
0,3389,64014,1,40,0
21,58368,22,27,3056,0
21,22,58368,26,3745,0
11,38634,22,6,977,0
11,22,38634,7,1401,0
30,21135,80,1,46,0
30,80,21135,6,264,0
5,55139,22,6,344,0
5,22,55139,7,507,0
8,15857,22,3,166,0
8,22,15857,5,300,0
0,42728,47350,1,46,0
0,47350,42728,1,40,0
81,54851,22,6,413,0
81,22,54851,10,3681,0
10,37179,22,18,2335,0
10,22,37179,19,3185,0
0,22,40001,5,1285,0
0,40001,22,6,340,0
12,43865,22,17,2267,0
12,22,43865,19,3185,0
0,43515,23,1,46,0
0,23,43515,1,40,0
120,35205,22,3,179,0
120,22,35205,11,7699,0
0,52795,23,1,46,0
0,23,52795,1,40,0
0,43483,3389,2,92,0
0,3389,43483,1,40,0
5,22266,22,3,182,0
5,22,22266,5,349,0
20,22,37005,26,3745,0
20,37005,22,24,2918,0
124,55968,22,6,314,0
124,22,55968,7,469,0
645,227,80,6,276,0
645,80,227,14,616,0
0,5351,5060,1,443,0
0,0,3,1,471,0
0,55816,3333,2,92,0
0,3333,55816,1,40,0
30,58511,80,1,46,0
30,80,58511,6,264,0
0,26758,5358,1,46,0
0,5358,26758,1,40,0
19,64550,22,26,3004,0
19,22,64550,26,3745,0
12,30306,22,16,2221,0
12,22,30306,24,3648,0
30,28868,80,1,46,0
30,80,28868,6,264,0
44,20097,22,7,405,0
44,22,20097,10,5625,0
13,27646,22,22,2863,0
13,22,27646,28,4697,0
0,48397,5358,1,46,0
0,5358,48397,1,40,0
9,48599,22,17,2267,0
9,22,48599,19,3185,0
20,22,55999,26,3745,0
20,55999,22,24,2883,0
30,24598,80,1,46,0
30,80,24598,6,264,0
0,23,7349,1,40,0
0,7349,23,1,46,0
10,22,54686,19,3185,0
10,54686,22,17,2267,0
18,7774,22,24,2899,0
18,22,7774,26,3745,0
0,8000,50091,7,556,1
0,50091,8000,6,515,1
0,8000,50092,7,561,1
0,50092,8000,6,589,1
0,8000,50093,7,702,1
0,50093,8000,6,586,1
1,8000,50094,7,1726,1
1,50094,8000,6,579,1
0,8000,51123,7,556,1
0,51123,8000,6,515,1
0,8000,51122,7,561,1
0,51122,8000,6,589,1
0,8000,51124,7,702,1
0,51124,8000,6,586,1
1,8000,51125,7,1726,1
1,51125,8000,6,579,1
9,16624,22,17,2267,0
9,22,16624,20,3249,0
0,8000,52165,7,556,1
0,52165,8000,6,515,1
0,8000,52164,7,561,1
0,52164,8000,6,589,1
0,8000,52166,7,702,1
0,52166,8000,6,586,1
0,8000,53194,7,561,1
0,53194,8000,6,589,1
0,8000,53195,7,556,1
0,53195,8000,6,515,1
0,8000,53196,7,702,1
0,53196,8000,6,586,1
31,54366,80,1,46,0
31,80,54366,6,264,0
20,21800,22,24,2900,0
20,22,21800,26,3745,0
12,10911,22,6,329,0
12,22,10911,9,5433,0
20,22,22051,26,3745,0
20,22051,22,24,2883,0
19,22,57337,26,3745,0
19,57337,22,24,2998,0
65,17289,22,6,992,0
65,22,17289,12,7558,0
0,5358,20816,1,40,0
0,20816,5358,1,46,0
9,22,52004,19,3185,0
9,52004,22,15,2163,0
14,3287,22,14,2935,0
14,22,3287,19,3037,0
0,32053,22,2,92,0
0,22,32053,1,44,0
0,8000,58877,7,561,1
0,58877,8000,6,589,1
0,8000,58878,7,556,1
0,58878,8000,6,515,1
0,8000,58879,7,702,1
0,58879,8000,6,586,1
0,8000,62645,7,561,1
0,62645,8000,6,589,1
0,8000,62646,7,702,1
0,62646,8000,6,586,1
0,8000,62647,7,556,1
0,62647,8000,6,515,1
0,8000,53783,7,561,1
0,53783,8000,6,589,1
0,8000,53784,7,702,1
0,53784,8000,6,586,1
0,8000,53785,7,556,1
0,53785,8000,6,515,1
0,8000,58576,7,561,1
0,58576,8000,6,589,1
0,8000,58575,7,702,1
0,58575,8000,6,586,1
0,8000,58577,7,556,1
0,58577,8000,6,515,1
0,8000,63643,7,561,1
0,63643,8000,6,589,1
0,8000,63644,7,702,1
0,63644,8000,6,586,1
0,8000,63645,7,556,1
0,63645,8000,6,515,1
0,8000,57158,7,561,1
0,57158,8000,6,589,1
0,8000,57159,7,702,1
0,57159,8000,6,586,1
0,8000,57160,7,556,1
0,57160,8000,6,515,1
0,8000,63189,7,561,1
0,63189,8000,6,589,1
0,8000,63190,7,702,1
0,63190,8000,6,586,1
0,8000,63191,7,556,1
0,63191,8000,6,515,1
0,8000,64231,7,702,1
0,64231,8000,6,586,1
0,8000,64232,7,556,1
0,64232,8000,6,515,1
0,8000,64233,7,561,1
0,64233,8000,6,589,1
0,8000,65264,7,702,1
0,65264,8000,6,586,1
0,8000,65265,7,556,1
0,65265,8000,6,515,1
0,8000,52010,7,561,1
0,52010,8000,6,589,1
0,8000,52011,7,556,1
0,52011,8000,6,515,1
0,8000,52012,7,702,1
0,52012,8000,6,586,1
0,8000,55111,7,561,1
0,55111,8000,6,589,1
0,8000,55112,7,702,1
0,55112,8000,6,586,1
0,8000,55113,7,556,1
0,55113,8000,6,515,1
0,8000,57176,7,556,1
0,57176,8000,6,515,1
0,8000,65266,7,561,1
0,65266,8000,6,589,1
0,8000,49945,7,702,1
0,49945,8000,6,586,1
0,8000,49946,7,556,1
0,49946,8000,6,515,1
0,8000,49947,7,561,1
0,49947,8000,6,589,1
0,8000,50980,7,561,1
0,50980,8000,6,589,1
0,8000,50981,7,702,1
0,50981,8000,6,586,1
0,8000,50982,7,556,1
0,50982,8000,6,515,1
0,8000,53047,7,561,1
0,53047,8000,6,589,1
0,8000,53046,7,556,1
0,53046,8000,6,515,1
0,8000,53048,7,702,1
0,53048,8000,6,586,1
0,8000,54077,7,702,1
0,54077,8000,6,586,1
0,8000,54078,7,561,1
0,54078,8000,6,589,1
0,8000,54079,7,556,1
0,54079,8000,6,515,1
0,8000,56144,7,561,1
0,56144,8000,6,589,1
0,8000,56145,7,702,1
0,56145,8000,6,586,1
0,8000,56146,7,556,1
0,56146,8000,6,515,1
0,8000,57177,7,702,1
0,57177,8000,6,586,1
0,8000,57178,7,561,1
0,57178,8000,6,589,1
0,8000,58218,7,561,1
0,58218,8000,6,589,1
0,8000,58220,7,702,1
0,58220,8000,6,586,1
0,8000,58219,7,556,1
0,58219,8000,6,515,1
0,8000,59252,7,702,1
0,59252,8000,6,586,1
0,8000,59253,7,556,1
0,59253,8000,6,515,1
0,8000,59254,7,561,1
0,59254,8000,6,589,1
0,8000,60282,7,561,1
0,60282,8000,6,589,1
0,8000,60283,7,702,1
0,60283,8000,6,586,1
0,8000,60284,7,556,1
0,60284,8000,6,515,1
0,8000,61317,7,556,1
0,61317,8000,6,515,1
0,8000,61318,7,702,1
0,61318,8000,6,586,1
0,8000,61319,7,561,1
0,61319,8000,5,543,1
0,8000,63746,7,561,1
0,63746,8000,6,589,1
0,8000,63747,7,702,1
0,63747,8000,6,586,1
0,8000,63748,7,556,1
0,63748,8000,6,515,1
0,8000,49336,7,556,1
0,49336,8000,6,515,1
0,8000,49337,7,702,1
0,49337,8000,6,586,1
0,8000,49338,7,561,1
0,49338,8000,6,589,1
0,8000,52226,7,702,1
0,52226,8000,6,586,1
0,8000,52227,7,556,1
0,52227,8000,6,515,1
0,8000,52228,7,561,1
0,52228,8000,6,589,1
0,8000,53845,7,702,1
0,53845,8000,6,586,1
0,8000,53846,7,556,1
0,53846,8000,6,515,1
0,8000,53847,7,561,1
0,53847,8000,6,589,1
0,8000,54963,7,702,1
0,54963,8000,6,586,1
0,8000,54964,7,556,1
0,54964,8000,6,515,1
0,8000,54965,7,561,1
0,54965,8000,6,589,1
0,8000,55998,7,561,1
0,55998,8000,6,589,1
0,8000,55999,7,702,1
0,55999,8000,6,586,1
0,8000,56000,7,556,1
0,56000,8000,6,515,1
0,8000,57064,7,556,1
0,57064,8000,6,515,1
0,8000,57063,7,561,1
0,57063,8000,6,589,1
0,8000,57065,7,702,1
0,57065,8000,6,586,1
0,8000,59621,7,702,1
0,59621,8000,6,586,1
0,8000,59622,7,561,1
0,59622,8000,6,589,1
0,8000,59623,7,556,1
0,59623,8000,6,515,1
0,8000,63146,7,702,1
0,63146,8000,6,586,1
0,8000,63147,7,556,1
0,63147,8000,6,515,1
0,8000,63148,7,561,1
0,63148,8000,6,589,1
0,8000,53778,7,561,1
0,53778,8000,6,589,1
0,8000,53779,7,556,1
0,53779,8000,6,515,1
0,8000,53777,7,702,1
0,53777,8000,6,586,1
0,8000,54816,7,561,1
0,54816,8000,6,589,1
0,8000,54817,7,702,1
0,54817,8000,6,586,1
0,8000,54818,7,556,1
0,54818,8000,6,515,1
0,8000,55851,7,702,1
0,55851,8000,6,586,1
0,8000,55852,7,561,1
0,55852,8000,6,589,1
0,8000,55853,7,556,1
0,55853,8000,6,515,1
0,8000,56884,7,561,1
0,56884,8000,6,589,1
0,8000,56885,7,702,1
0,56885,8000,6,586,1
0,8000,56886,7,556,1
0,56886,8000,6,515,1
0,8000,57920,7,561,1
0,57920,8000,6,589,1
0,8000,57921,7,702,1
0,57921,8000,6,586,1
0,8000,57922,7,556,1
0,57922,8000,6,515,1
0,8000,58956,7,702,1
0,58956,8000,6,586,1
0,8000,58957,7,556,1
0,58957,8000,6,515,1
0,8000,58958,7,561,1
0,58958,8000,6,589,1
0,8000,59991,7,561,1
0,59991,8000,6,589,1
0,8000,59992,7,556,1
0,59992,8000,6,515,1
0,8000,59993,7,702,1
0,59993,8000,6,586,1
0,8000,61024,7,561,1
0,61024,8000,6,589,1
0,8000,65173,7,561,1
0,65173,8000,6,589,1
0,8000,65174,7,1726,1
0,65174,8000,6,579,1
0,8000,65175,7,556,1
0,65175,8000,6,515,1
0,8000,65176,7,702,1
0,65176,8000,6,586,1
0,8000,54842,7,561,1
0,54842,8000,6,589,1
0,8000,54843,7,1726,1
0,54843,8000,6,579,1
0,8000,54844,7,702,1
0,54844,8000,6,586,1
0,8000,54845,7,556,1
0,54845,8000,6,515,1
0,8000,55868,7,561,1
0,55868,8000,6,589,1
0,8000,55869,7,1724,1
0,55869,8000,6,579,1
0,8000,55870,7,702,1
0,55870,8000,6,586,1
0,8000,55871,7,556,1
0,55871,8000,6,515,1
0,8000,56896,7,561,1
0,56896,8000,6,589,1
0,8000,56897,7,1725,1
0,56897,8000,6,579,1
0,8000,56898,7,702,1
0,56898,8000,6,586,1
0,8000,56899,7,556,1
0,56899,8000,6,515,1
0,8000,57926,7,561,1
0,57926,8000,6,589,1
0,8000,57927,7,1725,1
0,57927,8000,6,579,1
0,8000,57928,7,702,1
0,57928,8000,6,586,1
0,8000,57929,7,556,1
0,57929,8000,6,515,1
0,8000,58954,7,1725,1
0,58954,8000,6,579,1
0,8000,58955,7,556,1
0,58955,8000,6,515,1
0,8000,58956,7,561,1
0,58956,8000,6,589,1
0,8000,58957,7,702,1
0,58957,8000,6,586,1
0,8000,59983,7,561,1
0,59983,8000,6,589,1
0,8000,59984,7,1725,1
0,59984,8000,6,579,1
0,8000,59985,7,702,1
0,59985,8000,6,586,1
0,8000,59986,7,556,1
0,59986,8000,6,515,1
0,15557,5358,1,46,0
0,5358,15557,1,40,0
11,48202,22,15,1900,0
11,22,48202,23,3545,0
0,8000,56001,7,1726,1
0,56001,8000,6,579,1
0,8000,57066,7,1729,1
0,57066,8000,6,579,1
0,8000,59624,7,1728,1
0,59624,8000,6,579,1
0,8000,63149,7,1728,1
0,63149,8000,6,579,1
0,8000,53780,7,1726,1
0,53780,8000,6,579,1
135,8000,53781,3,132,1
135,53781,8000,4,190,1
135,8000,53782,3,132,1
135,53782,8000,4,190,1
13,3715,22,15,2871,0
13,22,3715,19,3033,0
0,8000,54819,7,1727,1
0,54819,8000,6,579,1
135,8000,54820,2,92,1
135,54820,8000,4,190,1
135,8000,54821,2,92,1
135,54821,8000,4,190,1
0,8000,55854,7,1727,1
0,55854,8000,6,579,1
135,8000,55855,2,92,1
135,55855,8000,4,190,1
0,8000,56887,7,1727,1
0,56887,8000,6,579,1
135,8000,56888,2,92,1
135,56888,8000,4,190,1
0,8000,57923,7,1727,1
0,57923,8000,6,579,1
0,8000,58959,7,1727,1
0,58959,8000,6,579,1
0,8000,59994,7,1727,1
0,59994,8000,6,579,1
0,8000,61025,7,702,1
0,61025,8000,6,586,1
0,8000,61026,7,556,1
0,61026,8000,6,515,1
0,8000,61027,7,1727,1
0,61027,8000,6,579,1
135,8000,61028,3,132,1
135,61028,8000,4,190,1
0,8000,62060,7,561,1
0,62060,8000,6,589,1
0,8000,62061,7,556,1
0,62061,8000,5,469,1
0,8000,62062,7,1727,1
0,62062,8000,6,579,1
0,8000,62063,7,702,1
0,62063,8000,6,586,1
0,8000,63089,7,561,1
0,63089,8000,6,589,1
0,8000,63090,7,1728,1
0,63090,8000,6,579,1
0,8000,63091,7,702,1
0,63091,8000,6,586,1
0,8000,63092,7,556,1
0,63092,8000,6,515,1
0,8000,64127,7,561,1
0,64127,8000,6,589,1
0,8000,64128,7,1728,1
0,64128,8000,6,579,1
0,8000,64129,7,702,1
0,64129,8000,6,586,1
0,8000,64130,7,556,1
0,64130,8000,5,469,1
0,8000,65164,7,561,1
0,65164,8000,6,589,1
0,8000,65165,7,1728,1
0,65165,8000,6,579,1
0,8000,65166,7,702,1
0,65166,8000,6,586,1
0,8000,65167,7,556,1
0,65167,8000,6,515,1
0,8000,49844,7,561,1
0,49844,8000,6,589,1
0,8000,49845,7,1728,1
0,49845,8000,6,579,1
0,8000,49846,7,702,1
0,49846,8000,6,586,1
0,8000,49847,7,556,1
0,49847,8000,6,515,1
0,8000,50887,7,561,1
0,50887,8000,6,589,1
0,8000,50888,7,1728,1
0,50888,8000,6,579,1
0,8000,50889,7,702,1
0,50889,8000,6,586,1
0,8000,50890,7,556,1
0,50890,8000,6,515,1
0,8000,51917,7,561,1
0,51917,8000,6,589,1
0,8000,51918,7,1728,1
0,51918,8000,6,579,1
0,8000,51919,7,702,1
0,51919,8000,6,586,1
0,8000,51920,7,556,1
0,51920,8000,6,515,1
0,8000,52954,7,561,1
0,52954,8000,6,589,1
0,8000,52955,7,702,1
0,52955,8000,6,586,1
0,8000,52956,7,1728,1
0,52956,8000,6,579,1
0,8000,52957,7,556,1
0,52957,8000,6,515,1
0,8000,53984,7,561,1
0,53984,8000,6,589,1
0,8000,53985,7,1728,1
0,53985,8000,6,579,1
0,8000,53986,7,702,1
0,53986,8000,6,586,1
0,8000,53987,7,556,1
0,53987,8000,6,515,1
0,8000,55019,7,561,1
0,55019,8000,6,589,1
0,8000,55020,7,702,1
0,55020,8000,6,586,1
0,8000,55021,7,1728,1
0,55021,8000,6,579,1
0,8000,55022,7,556,1
0,55022,8000,6,515,1
0,8000,56049,7,561,1
0,56049,8000,6,589,1
0,8000,56050,7,1728,1
0,56050,8000,6,579,1
0,8000,56051,7,702,1
0,56051,8000,6,586,1
0,8000,56052,7,556,1
0,56052,8000,6,515,1
0,8000,57085,7,561,1
0,57085,8000,6,589,1
0,8000,57086,7,1728,1
0,57086,8000,6,579,1
0,8000,57087,7,702,1
0,57087,8000,6,586,1
0,8000,57088,7,556,1
0,57088,8000,6,515,1
0,8000,58120,7,561,1
0,58120,8000,6,589,1
0,8000,58121,7,1728,1
0,58121,8000,6,579,1
0,8000,58122,7,702,1
0,58122,8000,6,586,1
0,8000,58123,7,556,1
0,58123,8000,6,515,1
0,8000,59154,7,561,1
0,59154,8000,6,589,1
0,8000,59155,7,1728,1
0,59155,8000,6,579,1
0,8000,59156,7,702,1
0,59156,8000,6,586,1
0,8000,59157,7,556,1
0,59157,8000,6,515,1
0,8000,60189,7,561,1
0,60189,8000,6,589,1
0,8000,60190,7,1728,1
0,60190,8000,6,579,1
0,8000,60191,7,702,1
0,60191,8000,6,586,1
0,8000,60192,7,556,1
0,60192,8000,6,515,1
0,8000,61223,7,561,1
0,61223,8000,6,589,1
0,8000,61224,7,1723,1
0,61224,8000,6,579,1
0,8000,62259,7,561,1
0,62259,8000,6,589,1
0,8000,62260,7,1723,1
0,62260,8000,6,579,1
0,8000,63293,7,561,1
0,63293,8000,6,589,1
0,8000,63294,7,1723,1
0,63294,8000,6,579,1
0,8000,64329,7,561,1
0,64329,8000,6,589,1
0,8000,64330,7,1723,1
0,64330,8000,6,579,1
0,8000,65361,7,561,1
0,65361,8000,6,589,1
0,8000,65362,7,1723,1
0,65362,8000,6,579,1
0,8000,50040,7,561,1
0,50040,8000,6,589,1
0,8000,50041,7,1723,1
0,50041,8000,6,579,1
0,8000,50042,7,702,1
0,50042,8000,6,586,1
0,8000,50043,7,556,1
0,50043,8000,6,515,1
0,8000,51075,6,521,1
0,51075,8000,6,589,1
0,8000,51076,7,1723,1
0,51076,8000,6,579,1
0,8000,52109,7,561,1
0,52109,8000,6,589,1
0,8000,52110,7,1723,1
0,52110,8000,6,579,1
0,8000,52111,7,702,1
0,52111,8000,6,586,1
0,8000,52112,7,556,1
0,52112,8000,6,515,1
0,8000,53146,7,561,1
0,53146,8000,6,589,1
0,8000,53147,7,1723,1
0,53147,8000,6,579,1
0,8000,54182,7,561,1
0,54182,8000,6,589,1
0,8000,54183,7,1723,1
0,54183,8000,6,579,1
0,8000,55220,7,561,1
0,55220,8000,6,589,1
0,8000,55221,7,1723,1
0,55221,8000,6,579,1
0,8000,55222,7,702,1
0,55222,8000,6,586,1
0,8000,55223,7,556,1
0,55223,8000,6,515,1
0,8000,56254,7,561,1
0,56254,8000,6,589,1
0,8000,56255,7,1723,1
0,56255,8000,6,579,1
0,8000,56256,7,702,1
0,56256,8000,6,586,1
0,8000,57293,7,561,1
0,57293,8000,6,589,1
0,8000,57294,7,1723,1
0,57294,8000,6,579,1
0,8000,57295,7,702,1
0,57295,8000,6,586,1
0,8000,57296,7,556,1
0,57296,8000,6,515,1
0,8000,58329,7,561,1
0,58329,8000,6,589,1
0,8000,58330,7,1723,1
0,58330,8000,6,579,1
0,8000,59364,7,561,1
0,59364,8000,6,589,1
0,8000,59365,7,1723,1
0,59365,8000,6,579,1
0,8000,59366,7,702,1
0,59366,8000,6,586,1
0,8000,59367,7,556,1
0,59367,8000,6,515,1
0,8000,60396,7,561,1
0,60396,8000,6,589,1
0,8000,60397,7,1723,1
0,60397,8000,6,579,1
0,8000,60398,7,702,1
0,60398,8000,6,586,1
0,8000,61433,7,561,1
0,61433,8000,6,589,1
0,8000,61434,7,1723,1
0,61434,8000,6,579,1
0,8000,53105,7,561,1
0,53105,8000,6,589,1
0,8000,49492,7,561,1
0,49492,8000,6,589,1
0,8000,49493,7,1728,1
0,49493,8000,6,579,1
0,8000,50538,7,561,1
0,50538,8000,6,589,1
0,8000,50539,7,1726,1
0,50539,8000,6,579,1
0,8000,58437,7,561,1
0,58437,8000,6,589,1
0,8000,58438,7,1727,1
0,58438,8000,6,579,1
0,8000,63619,7,561,1
0,63619,8000,6,589,1
0,8000,63620,7,1726,1
0,63620,8000,6,579,1
0,8000,64659,7,561,1
0,64659,8000,6,589,1
0,8000,51428,7,561,1
0,51428,8000,6,589,1
0,8000,51429,7,1727,1
0,51429,8000,6,579,1
0,8000,52466,7,561,1
0,52466,8000,6,589,1
0,8000,53508,7,561,1
0,53508,8000,6,589,1
0,8000,54550,7,561,1
0,54550,8000,6,589,1
0,8000,55589,7,561,1
0,55589,8000,6,589,1
0,8000,55590,7,1727,1
0,55590,8000,6,579,1
0,8000,53191,7,561,1
0,53191,8000,6,589,1
0,8000,53192,7,1725,1
0,53192,8000,6,579,1
0,8000,60042,7,561,1
0,60042,8000,6,589,1
0,8000,60043,7,1726,1
0,60043,8000,6,579,1
0,8000,60044,7,556,1
0,60044,8000,5,469,1
0,8000,60045,7,702,1
0,60045,8000,6,586,1
0,8000,61072,7,561,1
0,61072,8000,6,589,1
0,8000,61073,7,1724,1
0,61073,8000,6,579,1
0,8000,61074,7,702,1
0,61074,8000,6,586,1
0,8000,61075,7,556,1
0,61075,8000,6,515,1
0,8000,62098,7,561,1
0,62098,8000,6,589,1
0,8000,62099,7,1725,1
0,62099,8000,6,579,1
0,8000,62100,7,702,1
0,62100,8000,6,586,1
0,8000,62101,7,556,1
0,62101,8000,6,515,1
0,8000,63128,7,561,1
0,63128,8000,6,589,1
0,8000,63129,7,1725,1
0,63129,8000,6,579,1
0,8000,63130,7,702,1
0,63130,8000,6,586,1
0,8000,63131,7,556,1
0,63131,8000,6,515,1
0,8000,64157,7,561,1
0,64157,8000,6,589,1
0,8000,64158,7,1725,1
0,64158,8000,6,579,1
0,8000,64159,7,702,1
0,64159,8000,6,586,1
0,8000,64160,7,556,1
0,64160,8000,6,515,1
0,8000,65183,7,561,1
0,65183,8000,6,589,1
0,8000,65184,7,1725,1
0,65184,8000,6,579,1
0,8000,65185,7,702,1
0,65185,8000,6,586,1
0,8000,65186,7,556,1
0,65186,8000,6,515,1
0,8000,49857,7,561,1
0,49857,8000,6,589,1
0,8000,49858,7,1725,1
0,49858,8000,6,579,1
0,8000,49859,7,702,1
0,49859,8000,6,586,1
0,8000,49860,7,556,1
0,49860,8000,6,515,1
0,8000,50882,7,561,1
0,50882,8000,6,589,1
0,8000,50883,7,1725,1
0,50883,8000,6,579,1
0,8000,50884,7,702,1
0,50884,8000,6,586,1
0,8000,50885,7,556,1
0,50885,8000,6,515,1
0,8000,51911,7,561,1
0,51911,8000,6,589,1
0,8000,51912,7,1725,1
0,51912,8000,6,579,1
0,8000,51913,7,702,1
0,51913,8000,6,586,1
0,8000,51914,7,556,1
0,51914,8000,6,515,1
0,8000,52941,7,561,1
0,52941,8000,6,589,1
0,8000,52942,7,1725,1
0,52942,8000,6,579,1
0,8000,52943,7,702,1
0,52943,8000,6,586,1
0,8000,52944,7,556,1
0,52944,8000,6,515,1
0,8000,53967,7,561,1
0,53967,8000,6,589,1
0,8000,53968,7,1726,1
0,53968,8000,6,579,1
0,8000,53969,7,702,1
0,53969,8000,6,586,1
0,8000,53970,7,556,1
0,53970,8000,6,515,1
0,8000,55001,7,1726,1
0,55001,8000,6,579,1
0,8000,55002,7,561,1
0,55002,8000,6,589,1
0,8000,55003,7,702,1
0,55003,8000,6,586,1
0,8000,55004,7,556,1
0,55004,8000,6,515,1
0,8000,56029,7,561,1
0,56029,8000,6,589,1
0,8000,56030,7,1726,1
0,56030,8000,6,579,1
0,8000,56031,7,702,1
0,56031,8000,6,586,1
0,8000,56032,7,556,1
0,56032,8000,5,469,1
0,8000,57058,7,561,1
0,57058,8000,6,589,1
0,8000,57059,7,1726,1
0,57059,8000,6,579,1
0,8000,57061,7,702,1
0,57061,8000,6,586,1
0,8000,57060,7,556,1
0,57060,8000,6,515,1
0,8000,58089,8,601,1
0,58089,8000,6,589,1
0,8000,58090,7,1726,1
0,58090,8000,6,579,1
0,8000,58091,7,702,1
0,58091,8000,6,586,1
0,8000,58092,7,556,1
0,58092,8000,6,515,1
0,8000,59117,7,561,1
0,59117,8000,5,543,1
0,8000,59118,7,1726,1
0,59118,8000,6,579,1
0,8000,59119,7,556,1
0,59119,8000,6,515,1
0,8000,59120,7,702,1
0,59120,8000,6,586,1
0,8000,61258,7,561,1
0,61258,8000,6,589,1
0,8000,61259,7,1725,1
0,61259,8000,6,579,1
0,8000,61260,7,702,1
0,61260,8000,6,586,1
0,8000,61261,7,556,1
0,61261,8000,6,515,1
0,8000,63276,7,561,1
0,63276,8000,6,589,1
0,8000,63277,7,702,1
0,63277,8000,6,586,1
0,8000,63278,7,1726,1
0,63278,8000,6,579,1
0,8000,63279,7,556,1
0,63279,8000,6,515,1
0,8000,64393,7,561,1
0,64393,8000,6,589,1
0,8000,64394,7,1724,1
0,64394,8000,5,533,1
0,8000,64395,7,556,1
0,64395,8000,6,515,1
0,8000,64396,7,702,1
0,64396,8000,6,586,1
0,8000,50484,7,1725,1
0,50484,8000,6,579,1
0,8000,50485,7,561,1
0,50485,8000,6,589,1
0,8000,50486,7,702,1
0,50486,8000,6,586,1
0,8000,50487,7,556,1
0,50487,8000,6,515,1
0,8000,58805,7,561,1
0,58805,8000,6,589,1
0,8000,58806,7,1726,1
0,58806,8000,6,579,1
0,8000,58807,7,702,1
0,58807,8000,6,586,1
0,8000,58808,7,556,1
0,58808,8000,6,515,1
0,8000,59832,7,561,1
0,59832,8000,6,589,1
0,8000,59833,7,1724,1
0,59833,8000,6,579,1
0,8000,59835,7,702,1
0,59835,8000,6,586,1
0,8000,59834,7,556,1
0,59834,8000,6,515,1
0,8000,60889,7,561,1
0,60889,8000,6,589,1
0,8000,60890,7,1727,1
0,60890,8000,6,579,1
0,8000,60891,7,702,1
0,60891,8000,6,586,1
0,8000,60892,7,556,1
0,60892,8000,6,515,1
135,8000,60193,2,92,1
135,60193,8000,4,190,1
0,8000,61225,7,702,1
0,61225,8000,6,586,1
0,8000,61226,7,556,1
0,61226,8000,6,515,1
0,8000,62261,7,556,1
0,62261,8000,6,515,1
0,8000,62262,7,702,1
0,62262,8000,6,586,1
0,8000,63295,7,702,1
0,63295,8000,6,586,1
0,8000,63296,7,556,1
0,63296,8000,6,515,1
0,8000,64331,7,702,1
0,64331,8000,6,586,1
0,8000,64332,7,556,1
0,64332,8000,6,515,1
135,8000,64333,3,132,1
135,64333,8000,4,190,1
0,8000,65363,7,702,1
0,65363,8000,6,586,1
0,8000,65364,7,556,1
0,65364,8000,6,515,1
135,8000,50044,2,92,1
135,50044,8000,4,190,1
0,8000,51077,7,556,1
0,51077,8000,6,515,1
0,8000,51078,7,702,1
0,51078,8000,6,586,1
0,8000,53148,7,702,1
0,53148,8000,6,586,1
0,8000,53149,7,556,1
0,53149,8000,6,515,1
0,8000,54184,7,702,1
0,54184,8000,6,586,1
0,8000,54185,7,556,1
0,54185,8000,6,515,1
135,8000,54186,3,132,1
135,54186,8000,4,190,1
0,8000,56257,7,556,1
0,56257,8000,6,515,1
135,8000,56258,2,92,1
135,56258,8000,4,190,1
135,8000,57297,2,92,1
135,57297,8000,4,190,1
0,8000,58331,7,702,1
0,58331,8000,6,586,1
0,8000,58332,7,556,1
0,58332,8000,6,515,1
0,8000,60399,7,556,1
0,60399,8000,6,515,1
0,8000,61435,7,702,1
0,61435,8000,6,586,1
0,8000,61436,7,556,1
0,61436,8000,6,515,1
0,8000,52037,7,561,1
0,52037,8000,6,589,1
0,8000,52038,7,1723,1
0,52038,8000,6,579,1
0,8000,52039,7,702,1
0,52039,8000,6,586,1
0,8000,52040,7,556,1
0,52040,8000,6,515,1
0,8000,53106,7,1727,1
0,53106,8000,6,579,1
0,8000,53107,7,702,1
0,53107,8000,6,586,1
0,8000,53108,7,556,1
0,53108,8000,5,469,1
0,8000,58971,7,561,1
0,58971,8000,6,589,1
0,8000,58972,7,1729,1
0,58972,8000,6,579,1
0,8000,58973,7,702,1
0,58973,8000,6,586,1
0,8000,58974,7,556,1
0,58974,8000,6,515,1
0,8000,49494,7,702,1
0,49494,8000,6,586,1
0,8000,49495,7,556,1
0,49495,8000,6,515,1
0,8000,50540,7,702,1
0,50540,8000,6,586,1
0,8000,50541,7,556,1
0,50541,8000,6,515,1
0,8000,55349,7,561,1
0,55349,8000,6,589,1
0,8000,55351,7,702,1
0,55351,8000,6,586,1
0,8000,55350,7,1727,1
0,55350,8000,6,579,1
0,8000,55352,7,556,1
0,55352,8000,6,515,1
0,8000,58439,7,702,1
0,58439,8000,6,586,1
0,8000,58440,7,556,1
0,58440,8000,6,515,1
0,8000,61539,7,561,1
0,61539,8000,6,589,1
0,8000,63621,7,702,1
0,63621,8000,6,586,1
0,8000,63622,7,556,1
0,63622,8000,6,515,1
