B1,B2,B3,B4,A1,class
0,23,6179,1,40,0
0,6179,23,1,46,0
0.931,22,16393,5,1285,0
0.931,16393,22,6,340,0
22.697,39336,22,26,3015,0
22.697,22,39336,29,3954,0
17.769,58780,22,24,2900,0
17.769,22,58780,26,3745,0
8.997,60131,22,15,2163,0
8.997,22,60131,20,4213,0
30.996,13455,80,1,46,0
30.996,80,13455,6,264,0
9.664,22,56979,20,3249,0
9.664,56979,22,17,2283,0
9.711,22,51638,19,3185,0
9.711,51638,22,17,2267,0
19.975,22,35467,26,3745,0
19.975,35467,22,26,2987,0
0.015,123,54993,1,76,0
0.015,54993,123,1,76,0
30.998,13530,80,1,46,0
30.998,80,13530,6,264,0
20.392,14162,22,24,2900,0
20.392,22,14162,26,3745,0
5.854,22,62474,22,5401,0
5.854,62474,22,17,2929,0
19.295,26634,22,24,2932,0
19.295,22,26634,26,3745,0
14.613,15352,22,18,2331,0
14.613,22,15352,19,4101,0
16.553,31970,22,24,2899,0
16.553,22,31970,26,3745,0
19.779,22944,22,26,3048,0
19.779,22,22944,27,3865,0
10.077,22,39093,19,3185,0
10.077,39093,22,15,2163,0
19.517,14117,22,4,225,0
19.517,22,14117,9,6373,0
0,135,30177,1,46,0
22.915,13396,22,27,3072,0
22.915,22,13396,29,4033,0
9.838,11151,22,17,2267,0
9.838,22,11151,20,4085,0
0,57971,23,1,46,0
0,23,57971,1,40,0
9.485,22,42305,19,3185,0
9.485,42305,22,17,2267,0
0.966,22,48774,5,1285,0
0.966,48774,22,6,340,0
31,54545,80,1,46,0
31,80,54545,6,264,0
9.376,22,58947,19,3185,0
9.376,58947,22,15,2163,0
18.117,22,13551,26,3745,0
18.117,13551,22,24,2934,0
1.392,27362,445,3,144,0
1.392,445,27362,3,120,0
9.451,22,57338,19,3185,0
9.451,57338,22,15,2163,0
30.997,55098,80,1,46,0
30.997,80,55098,6,264,0
30.999,41146,80,1,46,0
30.999,80,41146,6,264,0
0,23,21141,1,40,0
0,21141,23,1,46,0
10.14,51429,22,16,2299,0
10.14,22,51429,20,3249,0
24.235,22,2495,28,3929,0
24.235,2495,22,27,3154,0
5.872,12791,22,7,375,0
5.872,22,12791,8,3499,0
0.018,22,56190,1,44,0
0.018,56190,22,2,92,0
9.984,49096,22,14,2111,0
9.984,22,49096,19,3185,0
0.015,123,47526,1,76,0
0.015,47526,123,1,76,0
134.932,26034,22,11,1251,0
134.932,22,26034,17,8785,0
20.199,61987,22,26,3035,0
20.199,22,61987,26,3745,0
23.545,22,31518,27,3865,0
23.545,31518,22,24,2889,0
9.536,22,54077,19,3185,0
9.536,54077,22,17,2267,0
8.907,22,50781,19,3185,0
8.907,50781,22,15,2163,0
30.997,46230,80,1,46,0
30.997,80,46230,6,264,0
9.798,24550,22,15,2163,0
9.798,22,24550,20,3237,0
9.779,22,47743,19,3185,0
9.779,47743,22,15,2163,0
1.078,3458,445,3,156,0
1.078,445,3458,3,120,0
18.652,31642,22,24,2948,0
18.652,22,31642,26,3745,0
30.999,50398,80,1,46,0
30.999,80,50398,6,264,0
19.044,61470,22,8,505,0
19.044,22,61470,11,1814,0
18.973,22,4218,27,3809,0
18.973,4218,22,27,3158,0
9.252,22,41165,19,3185,0
9.252,41165,22,15,2163,0
0,50229,808,1,46,0
0,808,50229,1,40,0
9.917,22,45492,19,3185,0
9.917,45492,22,17,2267,0
7.438,46570,22,2,106,0
7.438,22,46570,4,240,0
16.55,35725,22,19,3203,0
16.55,22,35725,31,5241,0
30.999,48396,80,1,46,0
30.999,80,48396,6,264,0
9.826,22,41623,19,3185,0
9.826,41623,22,17,2267,0
52.302,42761,22,8,505,0
52.302,22,42761,13,2000,0
18.951,42831,22,24,2883,0
18.951,22,42831,26,3745,0
0,23,48750,1,40,0
0,48750,23,1,46,0
9.598,22,53946,19,3185,0
9.598,53946,22,15,2163,0
120.943,50314,22,7,653,0
120.943,22,50314,10,4509,0
2.791,39177,23,2,92,0
2.791,23,39177,2,80,0
0.462,43832,80,13,616,0
0.462,80,43832,9,11967,0
37.755,22,29601,26,3917,0
37.755,29601,22,18,2334,0
0.954,22,25345,5,1285,0
0.954,25345,22,6,340,0
7.021,29991,22,4,225,0
7.021,22,29991,6,3371,0
9.687,22,40802,19,3185,0
9.687,40802,22,17,2283,0
9.46,22,51264,19,3185,0
9.46,51264,22,15,2163,0
17.542,52368,22,24,2916,0
17.542,22,52368,26,3745,0
30.997,40144,80,1,46,0
30.997,80,40144,6,264,0
9.156,53633,22,18,2403,0
9.156,22,53633,20,3249,0
9.033,22,58631,19,3185,0
9.033,58631,22,17,2267,0
121.962,48139,22,7,659,0
121.962,22,48139,8,2449,0
30.998,58438,80,1,46,0
30.998,80,58438,6,264,0
0,58640,23,1,46,0
0,23,58640,1,40,0
0,33309,23,1,46,0
0,23,33309,1,40,0
0,38523,5351,1,46,0
0,5351,38523,1,40,0
7.233,44520,22,10,1704,0
7.233,22,44520,11,2361,0
8.54,22,51269,19,3185,0
8.54,51269,22,15,2163,0
0,41353,111,1,69,0
0.001,0,3.3,2,155,0
0,59394,1434,1,46,0
90.744,29001,22,5,277,0
90.744,22,29001,11,8429,0
10.85,52252,22,17,2279,0
10.85,22,52252,20,4097,0
25.236,16823,22,17,2269,0
25.236,22,16823,28,5715,0
5.553,12228,22,7,420,0
5.553,22,12228,8,1535,0
6.589,49453,22,10,1245,0
6.589,22,49453,7,2157,0
120.88,21914,22,4,225,0
120.88,22,21914,10,6630,0
0.088,22,59067,4,213,0
0.088,59067,22,5,236,0
30.998,49820,80,1,46,0
30.998,80,49820,6,264,0
0,46629,23,1,46,0
0,23,46629,1,40,0
30.998,52294,80,1,46,0
30.998,80,52294,6,264,0
10.277,22,59187,19,3185,0
10.277,59187,22,17,2267,0
10.631,47997,22,17,2267,0
10.631,22,47997,19,3185,0
0,39745,5353,1,46,0
0,5353,39745,1,40,0
122.974,30819,22,6,322,0
122.974,22,30819,6,401,0
21.903,21910,22,24,2883,0
21.903,22,21910,28,3985,0
10.639,22,59463,20,3305,0
10.639,59463,22,19,2383,0
5.452,53666,22,2,112,0
5.452,22,53666,3,180,0
16.123,22,3773,19,3093,0
16.123,3773,22,14,2831,0
20.755,14038,22,24,2883,0
20.755,22,14038,26,3745,0
0,14983,23,1,46,0
0,23,14983,1,40,0
8.394,54736,22,3,166,0
8.394,22,54736,5,300,0
11.202,22,51044,19,3185,0
11.202,51044,22,22,2527,0
20.297,19510,22,26,3004,0
20.297,22,19510,26,3745,0
30.999,46392,80,1,46,0
30.999,80,46392,6,264,0
9.093,20435,22,15,2157,0
9.093,22,20435,20,3249,0
6.403,39435,22,6,359,0
6.403,22,39435,6,2362,0
30.996,4273,80,1,46,0
30.996,80,4273,6,264,0
103.12,64253,22,7,459,0
103.12,22,64253,14,2093,0
0.983,22,49465,5,1285,0
0.983,49465,22,6,340,0
0.034,3413,58953,1,40,0
0.034,58953,3413,2,92,0
6.423,21102,22,6,329,0
6.423,22,21102,8,4393,0
0,23,48407,1,40,0
0,48407,23,1,46,0
14.58,12136,22,7,1029,0
14.58,22,12136,10,5449,0
0,23,19758,1,40,0
0,19758,23,1,46,0
5.593,64553,22,7,441,0
5.593,22,64553,8,1564,0
0,43659,23,1,46,0
0,23,43659,1,40,0
23.184,22,3582,27,3809,0
23.184,3582,22,25,2986,0
30.999,28832,80,1,46,0
30.999,80,28832,6,264,0
2.47,56419,22,12,1586,0
2.47,22,56419,12,2545,0
142.967,24442,22,5,280,0
142.967,22,24442,9,601,0
14.997,34820,80,1,46,0
14.997,80,34820,5,220,0
17.775,20124,22,26,3004,0
17.775,22,20124,26,3745,0
79.52,53088,22,7,474,0
79.52,22,53088,13,4911,0
0.001,46756,55589,1,46,0
0.001,55589,46756,1,40,0
9.913,22,57803,19,3185,0
9.913,57803,22,17,2267,0
30.3,22,40668,27,5950,0
30.3,40668,22,20,3055,0
120.481,45295,22,5,283,0
120.481,22,45295,13,8617,0
20.885,28664,22,23,2896,0
20.885,22,28664,26,3745,0
10.87,22,42719,19,3185,0
10.87,42719,22,18,2319,0
8.775,22,60989,19,3185,0
8.775,60989,22,15,2179,0
19.353,22,12876,26,3745,0
19.353,12876,22,24,2889,0
9.194,22,59351,19,3185,0
9.194,59351,22,15,2163,0
121.801,32994,22,6,322,0
121.801,22,32994,7,494,0
0,54200,1900,1,122,0
0,0,3.3,1,150,0
0,53,54763,1,137,0
0,54763,53,1,76,0
0,53,46244,1,139,0
0,46244,53,1,78,0
0.001,53,49564,2,694,0
0.001,49564,53,2,130,0
0,53,44937,2,432,0
0,44937,53,2,134,0
1.014,80,48444,133,661664,0
1.014,48444,80,95,5969,0
1.014,80,57900,329,2300000,0
1.014,57900,80,214,13867,0
0.082,58095,22,2,94,0
0.082,22,58095,1,48,0
0,7103,23,1,46,0
0,23,7103,1,40,0
5.924,23772,22,7,417,0
5.924,22,23772,8,1547,0
10.378,39936,22,15,2157,0
10.378,22,39936,20,3249,0
30.999,57414,80,1,46,0
30.999,80,57414,6,264,0
30.999,61964,80,1,46,0
30.999,80,61964,6,264,0
30.996,24688,80,1,46,0
30.996,80,24688,6,264,0
9.636,47049,22,21,2475,0
9.636,22,47049,19,3185,0
18.57,50284,22,18,2327,0
18.57,22,50284,23,3545,0
9.123,22,36329,19,3185,0
9.123,36329,22,20,2439,0
5.545,38442,22,7,441,0
5.545,22,38442,8,1564,0
21.468,57064,22,24,2918,0
21.468,22,57064,26,3745,0
8.761,22,36700,19,3185,0
8.761,36700,22,18,2319,0
0,3137,23,1,46,0
0,23,3137,1,40,0
0,23,29465,1,40,0
0,29465,23,1,46,0
8.296,38263,22,4,233,0
8.296,22,38263,6,1386,0
0,0,8,1,46,0
0,0,0,1,32,0
30.998,46539,80,1,46,0
30.998,80,46539,6,264,0
30.996,734,80,1,46,0
30.996,80,734,6,264,0
19.662,62050,22,24,2900,0
19.662,22,62050,26,3745,0
9.934,22,51917,20,3249,0
9.934,51917,22,17,2261,0
19.185,15005,22,24,2889,0
19.185,22,15005,26,3745,0
0.35,22,9090,1,44,0
0.35,9090,22,2,92,0
74.916,21269,22,3,203,0
74.916,22,21269,10,5654,0
10.205,22,45388,19,3185,0
10.205,45388,22,17,2267,0
20.731,22,15763,28,3873,0
20.731,15763,22,26,3155,0
0,60641,1883,1,46,0
0,1883,60641,1,40,0
9.545,36695,22,15,2179,0
9.545,22,36695,19,3185,0
10.044,58288,22,17,2267,0
10.044,22,58288,20,4085,0
30.997,41236,80,1,46,0
30.997,80,41236,6,264,0
0,18657,23,1,46,0
0,23,18657,1,40,0
0,23,59510,1,40,0
0,59510,23,1,46,0
8.162,44191,22,15,2157,0
8.162,22,44191,20,3249,0
30.997,13348,80,1,46,0
30.997,80,13348,6,264,0
0.82,59630,22,5,230,0
0.82,22,59630,4,246,0
5.936,33311,22,5,301,0
5.936,22,33311,6,1378,0
0,2323,7334,1,40,0
0,7334,2323,1,46,0
30.997,59734,80,1,46,0
30.997,80,59734,6,264,0
11.059,36221,22,7,389,0
11.059,22,36221,11,5541,0
10.162,22,35563,19,3185,0
10.162,35563,22,17,2267,0
9.594,22,55544,20,3249,0
9.594,55544,22,15,2157,0
20.587,39848,22,2,112,0
20.587,22,39848,5,300,0
46.203,26978,22,6,329,0
46.203,22,26978,12,7577,0
0,30691,23,1,46,0
0,23,30691,1,40,0
0,49165,23,1,46,0
0,23,49165,1,40,0
0,60919,7547,1,46,0
0,7547,60919,1,40,0
0,59139,3128,1,46,0
0,3128,59139,1,40,0
30.998,22,27760,6,264,0
30.998,27760,22,1,46,0
30.997,15289,22,1,60,0
30.997,22,15289,6,360,0
30.998,41731,80,1,46,0
30.998,80,41731,6,264,0
30.999,20650,80,1,46,0
30.999,80,20650,6,264,0
9.898,22,46749,19,3185,0
9.898,46749,22,17,2283,0
0.001,23,24381,1,40,0
0.001,24381,23,1,46,0
4.366,57022,22,12,1586,0
4.366,22,57022,16,2837,0
18.952,22,5640,26,3745,0
18.952,5640,22,24,2934,0
7.405,44776,22,12,1908,0
7.405,22,44776,14,2385,0
0,47060,23,1,46,0
0,23,47060,1,40,0
0,46808,1900,1,122,0
0,0,3.3,1,150,0
0,16987,23,1,46,0
0,23,16987,1,40,0
6.392,50218,22,8,1143,0
6.392,22,50218,6,2117,0
10.493,22,49728,19,3185,0
10.493,49728,22,15,2163,0
9.561,22,37096,19,3185,0
9.561,37096,22,15,2163,0
0,8444,5358,1,46,0
0,5358,8444,1,40,0
9.935,22,34467,19,3185,0
9.935,34467,22,15,2163,0
9.19,22,55422,19,3185,0
9.19,55422,22,17,2267,0
18.488,29266,22,24,2900,0
18.488,22,29266,26,3745,0
0.017,46756,34489,2,92,0
0.017,34489,46756,1,40,0
6.276,53438,22,5,289,0
6.276,22,53438,6,2354,0
30.999,29812,80,1,46,0
30.999,80,29812,6,264,0
121.805,58613,22,3,158,0
121.805,22,58613,9,730,0
0,7547,30296,1,40,0
0,30296,7547,1,46,0
9.615,22,56360,19,3185,0
9.615,56360,22,17,2267,0
10.643,39029,22,7,1029,0
10.643,22,39029,10,5449,0
30.998,51137,80,1,46,0
30.998,80,51137,6,264,0
9.775,22,51005,20,3249,0
9.775,51005,22,15,2157,0
0,2222,27727,1,40,0
0,27727,2222,1,46,0
14.571,45657,22,6,353,0
14.571,22,45657,10,3599,0
0.927,22,58417,5,1285,0
0.927,58417,22,6,340,0
17.166,4126,22,15,2871,0
17.166,22,4126,21,3173,0
64.497,64257,22,6,359,0
64.497,22,64257,12,6787,0
9.272,22,52939,19,3185,0
9.272,52939,22,17,2267,0
8.954,22,56157,19,3185,0
8.954,56157,22,17,2267,0
30.999,48866,80,1,46,0
30.999,80,48866,6,264,0
120.5,59215,22,5,298,0
120.5,22,59215,14,7775,0
0,4581,2323,1,46,0
0,2323,4581,1,40,0
30.997,7318,80,1,46,0
30.997,80,7318,6,264,0
9.475,22,52582,19,3185,0
9.475,52582,22,17,2267,0
0,36390,5358,1,46,0
0,5358,36390,1,40,0
9.625,22,59793,19,3185,0
9.625,59793,22,17,2267,0
0,58627,23,1,46,0
0,23,58627,1,40,0
30.996,12335,80,1,46,0
30.996,80,12335,6,264,0
22.42,22,10554,28,3985,0
22.42,10554,22,24,2889,0
9.687,22,55801,19,3185,0
9.687,55801,22,15,2163,0
9.861,22,44776,19,3185,0
9.861,44776,22,15,2163,0
9.959,22,53473,19,3185,0
9.959,53473,22,17,2267,0
10.946,22,45453,19,3197,0
10.946,45453,22,17,2267,0
12.791,15570,22,20,3461,0
12.791,22,15570,26,4554,0
20.582,22,24817,26,3745,0
20.582,24817,22,24,2889,0
30.997,58589,80,1,46,0
30.997,80,58589,6,264,0
0.498,46553,22,2,92,0
0.498,22,46553,1,44,0
30.998,47476,80,1,46,0
30.998,80,47476,6,264,0
8.653,39144,22,15,2163,0
8.653,22,39144,19,3185,0
120.41,47147,22,5,283,0
120.41,22,47147,13,8605,0
30.997,30670,80,1,46,0
30.997,80,30670,6,264,0
20152.621,2271,80,14,644,0
20152.621,80,2271,79,3476,0
24.137,10800,22,27,3056,0
24.137,22,10800,26,3745,0
121.857,54359,22,6,341,0
121.857,22,54359,8,1523,0
19.289,48891,22,18,2040,0
19.289,22,48891,26,3783,0
0,8443,32773,1,46,0
0,32773,8443,1,40,0
0.001,59712,23,1,46,0
0.001,23,59712,1,40,0
126.821,48272,22,8,705,0
126.821,22,48272,12,1741,0
30.998,17777,80,1,46,0
30.998,80,17777,6,264,0
0,29379,23,1,46,0
0,23,29379,1,40,0
0,8010,5060,1,418,0
0,0,3.3,1,446,0
12.102,58678,22,6,329,0
12.102,22,58678,9,5433,0
0,17087,23,1,46,0
0,23,17087,1,40,0
0,63147,7547,1,46,0
0,7547,63147,1,40,0
30.998,6947,80,1,46,0
30.998,80,6947,6,264,0
0.943,22,34297,5,1285,0
0.943,34297,22,6,340,0
10.017,24967,22,5,925,0
10.017,22,24967,8,3401,0
24.074,23514,22,22,2812,0
24.074,22,23514,28,3985,0
20.953,22,21212,26,3745,0
20.953,21212,22,24,2969,0
10.36,22,36054,19,3185,0
10.36,36054,22,17,2267,0
10.465,59213,22,17,2267,0
10.465,22,59213,19,3185,0
5.404,37643,22,4,226,0
5.404,22,37643,5,300,0
19.485,22,39659,26,3745,0
19.485,39659,22,26,3003,0
25.605,22,25727,30,4142,0
25.605,25727,22,26,3095,0
30.999,37560,80,1,46,0
30.999,80,37560,6,264,0
121.942,29801,22,7,374,0
121.942,22,29801,6,405,0
18.3,13694,22,24,2883,0
18.3,22,13694,27,4773,0
8589.081,396,80,7,322,0
8589.081,80,396,37,1628,0
21.584,22,14664,26,3745,0
21.584,14664,22,26,2987,0
8.637,60057,22,15,2163,0
8.637,22,60057,19,3185,0
40.647,53003,22,7,1029,0
40.647,22,53003,14,7629,0
136.066,49356,22,12,1709,0
136.066,22,49356,22,4129,0
31,17029,80,1,46,0
31,80,17029,6,264,0
10.39,22,42705,19,3185,0
10.39,42705,22,15,2179,0
15.784,22,3977,21,3117,0
15.784,3977,22,17,3073,0
0,49717,11,1,46,0
0,11,49717,1,40,0
6.412,48839,22,7,381,0
6.412,22,48839,9,4457,0
0,0,8,1,46,0
0,0,0,1,28,0
30.997,7552,80,1,46,0
30.997,80,7552,6,264,0
9.045,22,35910,19,3185,0
9.045,35910,22,15,2163,0
1.478,63604,4899,3,152,0
1.478,4899,63604,3,120,0
15.73,2958,22,17,2963,0
15.73,22,2958,20,3065,0
0,5344,5060,1,446,0
0,0,3.3,1,474,0
30.999,80,257,7,308,0
30.999,257,80,3,138,0
30.998,62997,80,1,46,0
30.998,80,62997,6,264,0
2.298,46662,22,12,1811,0
2.298,22,46662,14,2721,0
9.221,22,36781,19,3185,0
9.221,36781,22,17,2267,0
30.996,18980,80,1,46,0
30.996,80,18980,6,264,0
10.09,22,33492,19,3185,0
10.09,33492,22,15,2163,0
0,0,8,1,46,0
0,0,0,1,40,0
9.437,22,38566,19,3185,0
9.437,38566,22,17,2267,0
0,1967,23,1,46,0
0,23,1967,1,40,0
0,70,54243,1,40,0
0,54243,70,1,46,0
17.985,36447,22,24,2900,0
17.985,22,36447,26,3745,0
9.452,22,39772,19,3185,0
9.452,39772,22,17,2267,0
0,47407,8080,1,46,0
0,8080,47407,1,40,0
30.997,20108,22,1,46,0
30.997,22,20108,6,264,0
7.93,50308,22,13,1653,0
7.93,22,50308,13,2585,0
0.941,22,10868,5,1285,0
0.941,10868,22,6,340,0
0.251,10576,22,2,92,0
0.251,22,10576,1,44,0
0,34352,7547,1,46,0
0,7547,34352,1,40,0
19.254,22,9286,26,3745,0
19.254,9286,22,26,2987,0
123.158,52287,22,6,329,0
123.158,22,52287,10,4509,0
9.264,57497,22,17,2267,0
9.264,22,57497,19,3185,0
7.866,47060,22,17,2267,0
7.866,22,47060,19,3185,0
0,51282,110,1,46,0
0,110,51282,1,40,0
30.998,21281,80,1,46,0
30.998,80,21281,6,264,0
0.952,22,34988,5,1285,0
0.952,34988,22,6,340,0
91.837,63211,22,5,354,0
91.837,22,63211,13,4944,0
0,65387,137,1,78,0
0,0,3.3,1,106,0
121.834,36396,22,6,329,0
121.834,22,36396,14,8593,0
7.389,43077,22,2,106,0
7.389,22,43077,4,240,0
0,45313,520,1,52,0
0,0,3.3,1,80,0
0,2570,23,1,46,0
0,23,2570,1,40,0
31,34636,80,1,46,0
31,80,34636,6,264,0
0,53,41691,1,139,0
0,41691,53,1,78,0
0,53,34821,2,432,0
0,34821,53,2,134,0
0.158,80,34306,108,704791,0
0.158,34306,80,104,5625,0
10.075,22,53804,19,3185,0
10.075,53804,22,17,2267,0
13.091,45046,22,13,1908,0
13.091,22,45046,19,3005,0
10.238,19886,22,15,2163,0
10.238,22,19886,20,4213,0
20.508,32230,22,24,2931,0
20.508,22,32230,27,3865,0
121.918,45162,22,6,329,0
121.918,22,45162,8,1518,0
8.933,22,34227,19,3185,0
8.933,34227,22,19,2371,0
30.999,13098,80,1,46,0
30.999,80,13098,6,264,0
120.417,59515,22,5,283,0
120.417,22,59515,13,8533,0
8.938,44886,22,17,2267,0
8.938,22,44886,19,3185,0
22.182,22,6054,26,3745,0
22.182,6054,22,24,2937,0
9.551,59543,22,6,613,0
9.551,22,59543,6,2366,0
5.274,49577,22,4,226,0
5.274,22,49577,5,300,0
120.879,25835,22,6,329,0
120.879,22,25835,13,8605,0
0,51265,23,1,46,0
0,23,51265,1,40,0
0,39177,23,1,46,0
0,23,39177,1,40,0
30.997,28213,80,1,46,0
30.997,80,28213,6,264,0
0,32867,53413,1,46,0
0,0,3.3,1,73,0
5.548,41569,22,6,368,0
5.548,22,41569,8,1535,0
18.552,60152,22,24,2900,0
18.552,22,60152,26,3745,0
18.786,37615,22,24,2899,0
18.786,22,37615,26,3745,0
10.793,22,51291,19,3185,0
10.793,51291,22,17,2283,0
30.998,39191,80,1,46,0
30.998,80,39191,6,264,0
9.714,60473,22,15,2163,0
9.714,22,60473,19,3185,0
30.997,23326,80,1,46,0
30.997,80,23326,6,264,0
6.077,55874,22,6,353,0
6.077,22,55874,6,1378,0
5.915,54583,22,7,390,0
5.915,22,54583,7,519,0
6.142,19906,22,5,277,0
6.142,22,19906,7,4317,0
13.726,38970,22,7,420,0
13.726,22,38970,11,3737,0
0,2092,5358,1,46,0
0,5358,2092,1,40,0
31,43161,80,1,46,0
31,80,43161,6,264,0
272.91,23,7334,3,120,0
272.91,7334,23,3,138,0
21.96,22,45699,29,4765,0
21.96,45699,22,25,2949,0
9.441,22,58740,19,3185,0
9.441,58740,22,15,2163,0
31,48714,80,1,46,0
31,80,48714,6,264,0
13.932,60696,22,7,406,0
13.932,22,60696,11,841,0
30.997,53412,80,1,46,0
30.997,80,53412,6,264,0
0,23,40298,1,40,0
0,40298,23,1,46,0
0,62096,2323,1,46,0
0,2323,62096,1,40,0
31.764,45267,22,28,3132,0
31.764,22,45267,29,3929,0
7.318,57147,22,6,314,0
7.318,22,57147,5,374,0
0.001,26405,7547,1,46,0
0.001,7547,26405,1,40,0
9.505,22,42005,19,3185,0
9.505,42005,22,15,2163,0
9.817,54542,22,8,448,0
9.817,22,54542,12,5630,0
9.744,22,43697,17,3081,0
9.744,43697,22,14,2127,0
1.149,18427,22,6,341,0
1.149,22,18427,5,1285,0
9.128,22,51154,19,3185,0
9.128,51154,22,17,2267,0
30.997,29238,80,1,46,0
30.997,80,29238,6,264,0
120.421,46945,22,2,127,0
120.421,22,46945,10,6630,0
30.997,40635,80,1,46,0
30.997,80,40635,6,264,0
0.037,58491,22,2,92,0
0.037,22,58491,1,44,0
17.99,22,40659,26,3745,0
17.99,40659,22,24,2918,0
6.151,27097,22,5,277,0
6.151,22,27097,7,3447,0
19.781,14124,22,24,2900,0
19.781,22,14124,26,3745,0
46.986,46278,22,8,441,0
46.986,22,46278,13,7637,0
0,52552,23,1,46,0
0,23,52552,1,40,0
11.828,38982,22,19,2691,0
11.828,22,38982,25,3613,0
9.62,34328,22,15,2157,0
9.62,22,34328,20,3249,0
9.685,22,42532,19,3185,0
9.685,42532,22,15,2163,0
24.771,46470,22,24,2918,0
24.771,22,46470,29,5013,0
0,33573,23,1,46,0
0,23,33573,1,40,0
12.673,35135,22,17,2551,0
12.673,22,35135,24,5206,0
18.231,38422,22,24,2944,0
18.231,22,38422,26,3745,0
9.802,22,60425,19,3185,0
9.802,60425,22,15,2179,0
9.543,22,35030,19,3185,0
9.543,35030,22,15,2163,0
24.203,34330,22,27,3088,0
24.203,22,34330,26,3745,0
9.294,22,58911,19,3185,0
9.294,58911,22,17,2267,0
0,21697,23,1,46,0
0,23,21697,1,40,0
10.014,22,36652,19,3185,0
10.014,36652,22,15,2163,0
30.996,53906,80,1,46,0
30.996,80,53906,6,264,0
0,12329,23,1,46,0
0,23,12329,1,40,0
120.962,52134,22,8,463,0
120.962,22,52134,13,4759,0
20.965,22,1137,29,4049,0
20.965,1137,22,27,3107,0
9.857,22,59222,19,3185,0
9.857,59222,22,18,2319,0
20.027,32162,22,24,2928,0
20.027,22,32162,26,3745,0
30.997,3625,80,1,46,0
30.997,80,3625,6,264,0
13.196,22,3089,18,2985,0
13.196,3089,22,13,2779,0
0,0,8,1,46,0
0,0,0,1,36,0
9.557,22,45593,19,3185,0
9.557,45593,22,18,2319,0
11.003,17483,22,17,2351,0
11.003,22,17483,19,3209,0
0,49819,5672,1,46,0
0,5672,49819,1,40,0
8.272,60411,22,13,1733,0
8.272,22,60411,14,3605,0
18.917,57018,22,26,3004,0
18.917,22,57018,26,3745,0
20.458,26834,22,26,3004,0
20.458,22,26834,26,3745,0
19.024,35886,22,24,2916,0
19.024,22,35886,26,3745,0
0,23,65398,1,40,0
0,65398,23,1,46,0
0.505,2435,5900,2,96,0
0.505,5900,2435,2,80,0
6.386,21346,22,6,329,0
6.386,22,21346,8,4369,0
10.764,64842,22,15,2163,0
10.764,22,64842,22,3353,0
0,49715,23,1,60,0
0,23,49715,1,40,0
131.16,59910,22,2,151,0
131.16,22,59910,9,3518,0
30.997,14432,80,1,46,0
30.997,80,14432,6,264,0
9.672,22,35635,19,3185,0
9.672,35635,22,17,2267,0
2.999,45575,80,1,46,0
2.999,80,45575,3,132,0
17.949,22,31733,26,3745,0
17.949,31733,22,24,2918,0
8.851,22,50180,20,3249,0
8.851,50180,22,15,2157,0
9.565,22,60493,19,3185,0
9.565,60493,22,17,2267,0
2.918,31939,22,12,1586,0
2.918,22,31939,12,2545,0
13.704,39411,22,17,2261,0
13.704,22,39411,23,3609,0
0.979,22,26036,5,1285,0
0.979,26036,22,6,340,0
30.998,32483,80,1,46,0
30.998,80,32483,6,264,0
123.233,12115,22,5,274,0
123.233,22,12115,7,502,0
21.976,5313,22,24,2915,0
21.976,22,5313,26,3745,0
0.968,22,43940,5,1285,0
0.968,43940,22,6,340,0
0,47110,2323,1,46,0
0,2323,47110,1,40,0
0,2765,5900,1,48,0
0,5900,2765,1,40,0
30.997,60881,80,1,46,0
30.997,80,60881,6,264,0
20.271,25191,22,24,2899,0
20.271,22,25191,26,3745,0
9,44550,22,17,2435,0
9,22,44550,21,3313,0
0,53069,7547,1,46,0
0,7547,53069,1,40,0
1368.037,63009,80,2,92,0
1368.037,80,63009,12,528,0
92.174,34344,22,6,383,0
92.174,22,34344,13,7782,0
11.732,36164,22,18,2409,0
11.732,22,36164,24,3551,0
0,52572,23,1,46,0
0,23,52572,1,40,0
9.732,37195,22,15,2163,0
9.732,22,37195,19,3185,0
10.523,22,53582,19,3185,0
10.523,53582,22,17,2267,0
0.105,80,2763,2,92,0
0.105,2763,80,4,190,0
1.014,8080,2764,3,120,0
1.014,2764,8080,3,156,0
1.208,1080,2766,3,120,0
1.208,2766,1080,3,156,0
19.857,53108,22,26,2987,0
19.857,22,53108,26,3745,0
0.184,80,2773,5,3681,0
0.184,2773,80,6,549,0
6.537,31022,22,7,413,0
6.537,22,31022,9,3543,0
7.395,37853,22,2,106,0
7.395,22,37853,4,240,0
0.001,47134,20,1,46,0
0.001,20,47134,1,40,0
122.857,58986,22,5,277,0
122.857,22,58986,9,3453,0
31,43496,80,1,46,0
31,80,43496,6,264,0
30.999,44638,80,1,46,0
30.999,80,44638,6,264,0
8.932,22,40864,19,3185,0
8.932,40864,22,15,2179,0
0,0,8,1,46,0
0,0,0,1,32,0
9.781,22,41707,19,3185,0
9.781,41707,22,15,2163,0
21.686,33122,22,25,2960,0
21.686,22,33122,28,3865,0
10.357,36715,22,17,2267,0
10.357,22,36715,19,3185,0
10.049,28769,22,17,2279,0
10.049,22,28769,20,4213,0
9.167,49582,22,17,2267,0
9.167,22,49582,19,3185,0
17.473,27696,22,24,2900,0
17.473,22,27696,26,3745,0
30.996,10310,80,1,46,0
30.996,80,10310,6,264,0
9.486,22,42305,19,3185,0
